2015 Infiniti Q50	$17,995	60,258 miles	Sedan 	Black 	6 Cyl 
2013 Infiniti G37	$13,995	43,018 miles	Sedan 	Black 	6 Cyl 
2014 Maserati Ghibli S Q4	$32,995	29,446 miles	Sedan 	Black 	6 Cyl 
2015 Nissan Rogue SV	$10,995	52,400 miles	SUV 	Blue 	4 Cyl 
2013 Ford Taurus Police Interceptor	$7,995	105,846 miles	Sedan 	Black 	6 Cyl 
2013 Volkswagen Tiguan S	$13,499	21,813 miles	SUV 	Silver 	4 Cyl 
2015 Mercedes-Benz M-Class ML 350	$33,984	36,353 miles	SUV 	Black 	6 Cyl 
2015 Toyota Corolla S	$13,221	34,777 miles	Sedan 	Gray 	4 Cyl 
2015 Subaru Outback 3.6R Limited	$27,000	18,780 miles	Wagon 	White 	6 Cyl 
2015 BMW 3 Series 328i xDrive	$19,495	62,937 miles	Sedan 	Blue 	4 Cyl 
2015 Volkswagen Passat Sport	$14,941	33,449 miles	Sedan 	White 	4 Cyl 
2015 Audi A6 2.0T	$25,794	44,118 miles	Sedan 	Black 	4 Cyl 
2014 Toyota Sienna LE	$17,985	50,429 miles	Minivan 	Black 	6 Cyl 
2015 Mercedes-Benz M-Class ML 350	$34,982	32,926 miles	SUV 	Black 	6 Cyl 
2015 Chevrolet Colorado Z71	$27,499	21,125 miles	Pickup 	Black 	6 Cyl 
2016 Nissan Murano Platinum	$30,900	10,082 miles	SUV 	Black 	6 Cyl 
2014 Ford Escape Titanium	$17,587	55,915 miles	SUV 	Green 	4 Cyl 
2017 Dodge Charger SE	$21,717	8,380 miles	Sedan 	Gray 	6 Cyl 
2017 Cadillac Escalade ESV	$65,539	17,272 miles	SUV 	White 	8 Cyl 
2015 Volkswagen Jetta SEL	$14,890	24,382 miles	Sedan 	Black 	4 Cyl 
2015 Audi A6 2.0T	$26,890	28,337 miles	Sedan 	Gray 	4 Cyl 
2014 Volkswagen Jetta S	$8,800	37,709 miles	Sedan 	White 	4 Cyl 
2015 Mercedes-Benz GLK 350	$32,981	15,889 miles	SUV 	White 	6 Cyl 
2015 Audi Q5 Premium	$27,850	30,557 miles	SUV 	Black 	4 Cyl 
2016 Chevrolet Silverado 1500 LT	$29,995	20,366 miles	Pickup 	Silver 	8 Cyl 
2015 Mini Cooper	$14,849	22,974 miles	Hatchback 	Red 	3 Cyl 
2015 Toyota Corolla S	$11,497	48,069 miles	Sedan 	White 	4 Cyl 
2015 Audi S5	$32,554	35,350 miles	Coupe 	Red 	6 Cyl 
2015 Lexus RX 350	$30,000	23,264 miles	SUV 	Black 	6 Cyl 
2015 Nissan Altima S	$8,995	57,027 miles	Sedan 	Gray 	4 Cyl 
2014 Jeep Grand Cherokee Limited Edition	$20,890	44,007 miles	SUV 	Black 	6 Cyl 
2015 Ford Explorer XLT	$22,980	42,650 miles	SUV 	White 	6 Cyl 
2016 Toyota Camry LE	$10,985	35,443 miles	Sedan 	Black 	4 Cyl 
2014 Mercedes-Benz CLA 250	$17,490	30,724 miles	Sedan 	Black 	4 Cyl 
2013 Nissan Murano LE	$15,998	63,000 miles	SUV 	White 	6 Cyl 
2015 Nissan Altima SL	$8,995	93,326 miles	Sedan 	Black 	4 Cyl 
2015 Nissan Rogue SV	$10,995	52,400 miles	SUV 	Blue 	4 Cyl 
2014 Nissan Maxima SV	$11,995	67,788 miles	Sedan 	White 	6 Cyl 
2013 Infiniti G37	$13,995	43,018 miles	Sedan 	Black 	6 Cyl 
2014 Maserati GranTurismo Sport	$54,995	20,645 miles	Coupe 	Gray 	8 Cyl 
2014 Maserati Ghibli S Q4	$32,995	29,446 miles	Sedan 	Black 	6 Cyl 
2015 Infiniti Q50	$17,995	60,258 miles	Sedan 	Black 	6 Cyl 
